column_key_order,column_key_name,column_key_label,section_name_for_column_key
1,TreasuryCode,Teacher Employee ID,PERSONAL INFORMATION
2,TchSurName,Teacher Sur Name,PERSONAL INFORMATION
3,TchFullName,Teacher Full Name,PERSONAL INFORMATION
4,FatherName,Father Name,PERSONAL INFORMATION
5,Designation,Designation,PERSONAL INFORMATION
6,dob,Date of Birth,PERSONAL INFORMATION
7,dort,Date of Retirement,PERSONAL INFORMATION
8,gender,Gender,PERSONAL INFORMATION
9,caste,Caste,PERSONAL INFORMATION
10,CasteCert,In case of SC/ ST upload caste Certificate,PERSONAL INFORMATION
11,adhaar,Adhaar No.,PERSONAL INFORMATION
12,mobile,Mobile No.,PERSONAL INFORMATION
13,PhcYN,If the Teacher is a Differently abled person (PHC) (Yes/No),PHC INFORMATION
14,PhcType,PHC type,PHC INFORMATION
15,PhcPercent,PHC Percentage,PHC INFORMATION
16,PhcAuth,Certificate issued by,PHC INFORMATION
17,PhcCertNo,Certificate No.,PHC INFORMATION
18,PhcCertDate,Certificate Date,PHC INFORMATION
19,PhcCertValidity,Certificate Valid upto,PHC INFORMATION
20,PhcCertReassess,Is reassessmnet advised,PHC INFORMATION
21,ResHno,Residential H No,ADDRESS INFORMATION
22,ResStreet,Residential Street,ADDRESS INFORMATION
23,ResMandal,Residential Mandal,ADDRESS INFORMATION
24,ResDist,Residential District,ADDRESS INFORMATION
25,NatHno,Native H No,ADDRESS INFORMATION
26,NatStreet,Native Street,ADDRESS INFORMATION
27,NatMandal,Native Mandal,ADDRESS INFORMATION
28,NatDist,Native District,ADDRESS INFORMATION
29,AccountNo,Bank Account No.,BANK INFORMATION
30,branch,Bank Branch,BANK INFORMATION
31,bank,Bank Name,BANK INFORMATION
32,IfscCode,Bank IFSC,BANK INFORMATION
33,SchCode,School UDISE Code,WORKING SCHOOL PARTICULARS
34,SchName,Present School Name,WORKING SCHOOL PARTICULARS
35,SchMandal,School Mandal,WORKING SCHOOL PARTICULARS
36,division,School District,WORKING SCHOOL PARTICULARS
37,category_ofthe_school,School Category,WORKING SCHOOL PARTICULARS
38,management,School Management,WORKING SCHOOL PARTICULARS
39,medium_ofthe_school,School Medium,WORKING SCHOOL PARTICULARS
40,hra,School HRA,WORKING SCHOOL PARTICULARS
41,school_type,School Type,WORKING SCHOOL PARTICULARS
42,SchJoinDate,Present School Joining Date,WORKING SCHOOL PARTICULARS
43,MaritalStatus,Marital Status,SPOUSE INFORMATION
44,SpGovtEmpYN,Is spouse a Govt Employee (Y/N),SPOUSE INFORMATION
45,SpTreasuryCode,Spouse Employee Id,SPOUSE INFORMATION
46,SpDesign,Spouse Designation,SPOUSE INFORMATION
47,SpName,Spouse Name,SPOUSE INFORMATION
48,SpDeptName,Spouse Department,SPOUSE INFORMATION
49,SpOfficeName,Spouse Office Name,SPOUSE INFORMATION
50,SpWorkArea,Spouse Working Area,SPOUSE INFORMATION
51,SpDeptType,Spouse Department Type,SPOUSE INFORMATION
52,PostType,Spouse Post type,SPOUSE INFORMATION
